UID          PID    PPID  C STIME TTY          TIME CMD
root         600       2  0 04:42 ?        00:00:00 [loop5]
root         627       2  0 04:42 ?        00:00:00 [loop6]
root         636       2  0 04:42 ?        00:00:00 [loop7]
root         646       2  0 04:42 ?        00:00:00 [kworker/6:1H-kblockd]
root         647       2  0 04:42 ?        00:00:00 [loop8]
root         650       2  0 04:42 ?        00:00:00 [loop9]
root         653       2  0 04:42 ?        00:00:00 [loop10]
_rpc         712       1  0 04:42 ?        00:00:00 /sbin/rpcbind -f -w
root         720       1  0 04:42 ?        00:00:00 /usr/sbin/rpc.idmapd
systemd+     721       1  0 04:42 ?        00:00:07 /lib/systemd/systemd-resolved
systemd+     723       1  0 04:42 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         808       1  0 04:42 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root         809       1  0 04:42 ?        00:00:09 /usr/sbin/acpid
avahi        812       1  0 04:42 ?        00:00:01 avahi-daemon: running [hulk.local]
root         813       1  0 04:42 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
root         814       1  0 04:42 ?        00:00:00 /usr/sbin/cron -f
root         816       1  0 04:42 ?        00:00:00 /usr/sbin/cupsd -l
message+     817       1  0 04:42 ?        00:00:17 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         818       1  0 04:42 ?        00:01:01 /usr/sbin/NetworkManager --no-daemon
root         826       1  0 04:42 ?        00:00:04 /usr/sbin/irqbalance --foreground
root         830       1  0 04:42 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         833       1  0 04:42 ?        00:00:02 /usr/lib/policykit-1/polkitd --no-debug
syslog       837       1  0 04:42 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         850       1  0 04:42 ?        00:00:43 /usr/lib/snapd/snapd
root         851       1  0 04:42 ?        00:00:00 /usr/libexec/switcheroo-control
root         852       1  0 04:42 ?        00:00:03 /lib/systemd/systemd-logind
root         854       1  0 04:42 ?        00:00:00 /usr/lib/udisks2/udisksd
root         856       1  0 04:42 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        858     812  0 04:42 ?        00:00:00 avahi-daemon: chroot helper
root         902       1  0 04:42 ?        00:00:00 /usr/sbin/cups-browsed
lp           905     816  0 04:42 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
lp           906     816  0 04:42 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root         915       1  0 04:42 ?        00:00:00 /usr/sbin/ModemManager --filter-policy=strict
root         916       1  0 04:42 ?        00:00:07 /usr/lib/bolt/boltd
root         946       1  0 04:42 ?        00:00:00 /usr/sbin/rpc.mountd --manage-gids
root         956       1  0 04:42 ?        00:00:00 /usr/sbin/gdm3
root         957       2  0 04:42 ?        00:00:02 [kworker/u25:3-rb_allocator]
root         958       2  0 04:42 ?        00:00:00 [lockd]
root         972       1  0 04:42 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
rtkit       1006       1  0 04:42 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1141       1  0 04:42 ?        00:00:54 /usr/lib/upower/upowerd
root        1221       2  0 04:42 ?        00:00:00 [nfsd]
root        1222       2  0 04:42 ?        00:00:00 [nfsd]
root        1223       2  0 04:42 ?        00:00:00 [nfsd]
root        1224       2  0 04:42 ?        00:00:00 [nfsd]
root        1225       2  0 04:42 ?        00:00:00 [nfsd]
root        1226       2  0 04:42 ?        00:00:00 [nfsd]
root        1227       2  0 04:42 ?        00:00:00 [nfsd]
root        1228       2  0 04:42 ?        00:00:00 [nfsd]
colord      1391       1  0 04:42 ?        00:00:00 /usr/libexec/colord
whoopsie    1507       1  0 04:42 ?        00:00:00 /usr/bin/whoopsie -f
kernoops    1511       1  0 04:42 ?        00:00:02 /usr/sbin/kerneloops --test
kernoops    1515       1  0 04:42 ?        00:00:02 /usr/sbin/kerneloops
root        1522       2  0 04:42 ?        00:00:00 [iprt-VBoxWQueue]
root        1523       2  0 04:42 ?        00:00:00 [iprt-VBoxTscThr]
root        1705     956  0 04:43 ?        00:00:00 gdm-session-worker [pam/gdm-password]
adaniels    1750       1  0 04:43 ?        00:00:00 /lib/systemd/systemd --user
adaniels    1751    1750  0 04:43 ?        00:00:00 (sd-pam)
adaniels    1757    1750  6 04:43 ?        00:57:33 /usr/bin/pulseaudio --daemonize=no --log-target=journal
adaniels    1759    1750  0 04:43 ?        00:00:01 /usr/libexec/tracker-miner-fs
adaniels    1764    1750  0 04:43 ?        00:00:05 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
adaniels    1765       1  0 04:43 ?        00:00:01 /usr/bin/gnome-keyring-daemon --daemonize --login
adaniels    1770    1750  0 04:43 ?        00:00:00 /usr/libexec/gvfsd
adaniels    1775    1750  0 04:43 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
adaniels    1793    1750  0 04:43 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
adaniels    1801    1750  0 04:43 ?        00:00:01 /usr/libexec/gvfs-afc-volume-monitor
adaniels    1808    1750  0 04:43 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
root        1809       2  0 04:43 ?        00:00:00 [krfcommd]
adaniels    1813    1750  0 04:43 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
adaniels    1817    1750  0 04:43 ?        00:00:00 /usr/libexec/goa-daemon
adaniels    1825    1750  0 04:43 ?        00:00:00 /usr/libexec/goa-identity-service
adaniels    1830    1750  0 04:43 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
adaniels    1853    1705  0 04:43 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
adaniels    1855    1853  4 04:43 tty2     00:38:43 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
adaniels    1872    1853  0 04:43 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
adaniels    1944    1872  0 04:43 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
adaniels    1961       1  0 04:43 ?        00:02:10 /usr/bin/ibus-daemon --daemonize --xim
adaniels    1965    1961  0 04:43 ?        00:00:00 /usr/libexec/ibus-dconf
adaniels    1966    1961  0 04:43 ?        00:00:00 /usr/libexec/ibus-ui-gtk3
adaniels    1967    1961  0 04:43 ?        00:00:20 /usr/libexec/ibus-extension-gtk3
adaniels    1969       1  0 04:43 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
adaniels    1972    1750  0 04:43 ?        00:00:00 /usr/libexec/ibus-portal
adaniels    1990    1750  0 04:43 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
adaniels    1995    1990  0 04:43 ?        00:00:01 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
adaniels    2007    1750  0 04:43 ?        00:00:02 /usr/libexec/xdg-desktop-portal
